defect,repair,inservice,cartype,manufacturer
DIRTY,REPLACED,"[35,40]",R46,Pullman
DIRTY,REPLACED,"[35,40]",R46,Pullman
OTHERS,REPAIRED,"[35,40]",R46,Pullman
OTHERS,REPAIRED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
OTHERS,REPLACED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
LEAKING,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
DIRTY,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
OTHERS,REPAIRED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
DIRTY,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPAIRED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPLACED,"[35,40]",R46,Pullman
DIRTY,CLEANED,"[35,40]",R46,Pullman
MALFUNCTIONING,REPLACED,"[35,40]",R46,Pullman
OTHERS,REPAIRED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
H/W DAMAGED,REPLACED,"[35,40]",R46,Pullman
