defect,repair,inservice,cartype,manufacturer
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
H/W DAMAGED,REPLACED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPAIRED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
DIRTY,REPLACED,"[45,50]",R32,Budd
MALFUNCTIONING,REPLACED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
LEAKING,REPAIRED,"[45,50]",R32,Budd
H/W DAMAGED,REPAIRED,"[45,50]",R32,Budd
OTHERS,REPAIRED,"[45,50]",R32,Budd
