defect,repair,inservice,cartype,manufacturer
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
OTHERS,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
DIRTY,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
OTHERS,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,RESET,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
H/W DAMAGED,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
LEAKING,REPAIRED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
MALFUNCTIONING,REPLACED,15,R142,Bombardier
